"op","dms_update_ts","id","createdat","linkid","prioritytype","incidenttype","expirytime","expireusingexcessdelay","isactive","parentincidentid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"D","2022-01-09 15:59:42.510000","237234","2022-01-10 01:45:30.0000000 +10:30","3487","5","0","",,,"237236","dbo","BeaconIncidents","02","2022","01","10"
"D","2022-01-02 16:14:42.437000","236962","2022-01-03 02:23:30.0000000 +10:30","2636","5","0","",,,"0","dbo","BeaconIncidents","02","2022","01","03"
"D","2022-01-06 22:06:43.583000","237126","2022-01-07 08:27:00.0000000 +10:30","2119","5","4","",,,"237125","dbo","BeaconIncidents","08","2022","01","07"
"D","2022-01-03 01:53:19.327000","236970","2022-01-03 11:54:33.0000000 +10:30","2648","5","0","",,,"236969","dbo","BeaconIncidents","12","2022","01","03"
"I","2022-01-03 05:40:42.730000","236981","2022-01-03 16:10:30.0000000 +10:30","2369","5","0","",,,"0","dbo","BeaconIncidents","16","2022","01","03"
"D","2022-01-05 11:45:25.047000","237054","2022-01-05 22:09:00.0000000 +10:30","2636","5","0","",,,"0","dbo","BeaconIncidents","22","2022","01","05"
"D","2022-01-31 10:15:35.090000","238738","2022-01-31 20:32:30.0000000 +10:30","1059","5","3","",,,"0","dbo","BeaconIncidents","20","2022","01","31"
"I","2022-01-03 03:43:19.197000","236976","2022-01-03 14:13:00.0000000 +10:30","1508","5","0","",,,"0","dbo","BeaconIncidents","14","2022","01","03"
"I","2022-01-30 23:20:29.970000","238691","2022-01-31 09:50:00.0000000 +10:30","110","5","0","",,,"0","dbo","BeaconIncidents","09","2022","01","31"
"I","2022-01-31 07:31:24.920000","238733","2022-01-31 18:01:00.0000000 +10:30","1724","5","0","",,,"0","dbo","BeaconIncidents","18","2022","01","31"
"D","2022-01-07 00:07:42.503000","237133","2022-01-07 10:32:00.0000000 +10:30","3601","5","0","",,,"0","dbo","BeaconIncidents","10","2022","01","07"
"I","2022-01-26 00:11:34.660000","238368","2022-01-26 10:41:30.0000000 +10:30","3707","5","0","",,,"0","dbo","BeaconIncidents","10","2022","01","26"
"I","2022-01-04 04:18:42.447000","237005","2022-01-04 14:48:30.0000000 +10:30","3705","5","0","",,,"0","dbo","BeaconIncidents","14","2022","01","04"
"D","2022-01-07 02:42:24.797000","237144","2022-01-07 12:51:00.0000000 +10:30","671","5","0","",,,"0","dbo","BeaconIncidents","13","2022","01","07"
"D","2022-01-30 21:20:26.397000","238674","2022-01-31 07:30:00.0000000 +10:30","3119","5","0","",,,"0","dbo","BeaconIncidents","07","2022","01","31"
"D","2022-01-30 21:20:26.397000","238675","2022-01-31 07:46:00.0000000 +10:30","488","5","0","",,,"0","dbo","BeaconIncidents","07","2022","01","31"
"I","2022-01-30 21:20:34.990000","238677","2022-01-31 07:50:30.0000000 +10:30","1261","5","0","",,,"0","dbo","BeaconIncidents","07","2022","01","31"
"U","2022-01-30 21:21:02.330000","238677","2022-01-31 07:50:30.0000000 +10:30","1261","5","3","",,,"0","dbo","BeaconIncidents","07","2022","01","31"
"D","2022-01-16 19:56:04.693000","237629","2022-01-17 06:20:30.0000000 +10:30","319","5","0","",,,"0","dbo","BeaconIncidents","06","2022","01","17"
"I","2022-01-09 23:58:42.463000","237241","2022-01-10 10:28:30.0000000 +10:30","1973","5","1","",,,"237240","dbo","BeaconIncidents","10","2022","01","10"
"I","2022-01-31 06:02:25.500000","238717","2022-01-31 16:32:01.0000000 +10:30","455","5","0","",,,"0","dbo","BeaconIncidents","16","2022","01","31"
"U","2022-01-31 06:02:42.230000","238717","2022-01-31 16:32:01.0000000 +10:30","455","5","3","",,,"0","dbo","BeaconIncidents","16","2022","01","31"
"I","2022-01-23 02:32:34.863000","238183","2022-01-23 13:02:30.0000000 +10:30","2697","5","0","",,,"238182","dbo","BeaconIncidents","13","2022","01","23"
"I","2022-01-07 14:28:43.510000","237166","2022-01-08 00:58:30.0000000 +10:30","1474","5","0","",,,"0","dbo","BeaconIncidents","00","2022","01","08"
"I","2022-01-16 14:32:22.263000","237625","2022-01-17 01:02:00.0000000 +10:30","2543","5","0","",,,"237624","dbo","BeaconIncidents","01","2022","01","17"
"I","2022-01-23 02:28:42.493000","238182","2022-01-23 12:58:30.0000000 +10:30","2695","5","0","",,,"0","dbo","BeaconIncidents","12","2022","01","23"
"I","2022-01-01 10:28:17.850000","236933","2022-01-01 20:58:00.0000000 +10:30","3706","5","0","",,,"0","dbo","BeaconIncidents","20","2022","01","01"
"I","2022-01-30 21:16:24.180000","238675","2022-01-31 07:46:00.0000000 +10:30","488","5","0","",,,"0","dbo","BeaconIncidents","07","2022","01","31"
"D","2022-01-03 12:27:42.563000","236990","2022-01-03 22:54:00.0000000 +10:30","1485","5","0","",,,"0","dbo","BeaconIncidents","22","2022","01","03"
"D","2022-01-30 13:59:19.930000","238669","2022-01-31 00:24:00.0000000 +10:30","1455","5","0","",,,"0","dbo","BeaconIncidents","00","2022","01","31"
"D","2022-01-05 03:11:23.537000","237046","2022-01-05 13:23:01.0000000 +10:30","3582","5","3","",,,"0","dbo","BeaconIncidents","13","2022","01","05"
