"op","instance_id","id","name","activity_id","entry_status_username","startenddescription","enabled","stdevadjustmultiplier","schema_name","status_date","ingest_hour","ingest_year","ingest_month","ingest_day"
"I","2021-07-06 01:49:38.771957","200","51-South Eastern Fwy - Toll Gate to Hahndorf","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771962","201","51-South Eastern Fwy - Toll Gate to Mt Barker","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771967","202","51-South Eastern Fwy - Toll Gate to Murray Bridge","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771972","203","54 - Crafers to GJ Rd","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771976","204","54 - Crafers to TS077","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771981","205","55 - VMS055 to TS016","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771986","206","55 - VMS055 to TS077","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771990","207","607 - TS146 to TS111","1","Main South Road (NB)","Majors Rd to Ayliffes Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771996","208","607 - TS146 to TS108","1","Main South Road (NB)","Majors Rd to Daws Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772002","209","607 - TS146 to TS107","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772006","210","607 - TS146 to TS116","1","Main South Rd / Diagonal Rd (NB)","Majors Rd to Sturt Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772012","211","611-Shep Hill Rd to Daws / Springbank / Goodwood","1","Shepherds Hill Rd / Fivash Dr (NB)","Shepherds Hill Rd to Daws Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772019","212","611-Shepherds Hill Rd to Anzac Hwy","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772024","213","554-Port Road near Queen Street (inbound) to Park Terrace","1","Port Road (Inbound)","Queen Street to Park Terrace","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
