Route Id,Stop Id (Gtfs History Prod.Stops.Csv),Stop Name,Stop Id (Gtfs History Prod.Stops.Csv),Stop Lat,Stop Lon
101,3841,Stop 8F Marion Rd - East side,"3,841",-34.94197879,138.5533067
100P,3841,Stop 8F Marion Rd - East side,"3,841",-34.94197879,138.5533067
100,3841,Stop 8F Marion Rd - East side,"3,841",-34.94197879,138.5533067
J8,3748,Stop 8E Marion Rd - West side,"3,748",-34.93753409,138.5527425
J7,3748,Stop 8E Marion Rd - West side,"3,748",-34.93753409,138.5527425
H20C,3748,Stop 8E Marion Rd - West side,"3,748",-34.93753409,138.5527425
H20,3748,Stop 8E Marion Rd - West side,"3,748",-34.93753409,138.5527425
101,3748,Stop 8E Marion Rd - West side,"3,748",-34.93753409,138.5527425
100B,3748,Stop 8E Marion Rd - West side,"3,748",-34.93753409,138.5527425
100,3748,Stop 8E Marion Rd - West side,"3,748",-34.93753409,138.5527425
J8,3739,Stop 8E Marion Rd - East side,"3,739",-34.93748431,138.5529827
J7M,3739,Stop 8E Marion Rd - East side,"3,739",-34.93748431,138.5529827
