"op","dms_update_ts","logtime","siteid","probeid","firstseenat","sourceidtype","trackedvehicletypeid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day","op","dms_update_ts","id","number","activity_id","enabled","name","beaconindex","instance_id","androidname","longitude","latitude","status_date","entry_status_username","ingest_hour","ingest_year","ingest_month","ingest_day","in_out_filter","seq"
"I","2022-03-06 00:09:01.770000","2022-03-06 10:08:32 +10:30","92","968546674","2022-03-06 10:08:13 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.336500","92","92","1","true","PORTRUSH ROAD -MOUNT BARKER ROAD -CROSS ROAD","9","PORTRUSH ROAD; MOUNT BARKER ROAD; CROSS ROAD","Port Rush Road; Mount Barker Road; Cross Road","138.644018","-34.963378",,"BTSites","11","2021","07","06","2","42"
"I","2022-03-06 00:09:01.770000","2022-03-06 10:08:32 +10:30","92","968546674","2022-03-06 10:08:13 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.677693","92","92","1","true","PORTRUSH ROAD -MOUNT BARKER ROAD -CROSS ROAD","9","PORTRUSH ROAD; MOUNT BARKER ROAD; CROSS ROAD","Port Rush Road; Mount Barker Road; Cross Road","138.644018","-34.963378",,"BTSites","12","2021","05","28","1","43"
"I","2022-03-06 00:09:34.950000","2022-03-06 10:09:26 +10:30","92","968546674","2022-03-06 10:09:03 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.336500","92","92","1","true","PORTRUSH ROAD -MOUNT BARKER ROAD -CROSS ROAD","9","PORTRUSH ROAD; MOUNT BARKER ROAD; CROSS ROAD","Port Rush Road; Mount Barker Road; Cross Road","138.644018","-34.963378",,"BTSites","11","2021","07","06","2","44"
"I","2022-03-06 00:09:34.950000","2022-03-06 10:09:26 +10:30","92","968546674","2022-03-06 10:09:03 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.677693","92","92","1","true","PORTRUSH ROAD -MOUNT BARKER ROAD -CROSS ROAD","9","PORTRUSH ROAD; MOUNT BARKER ROAD; CROSS ROAD","Port Rush Road; Mount Barker Road; Cross Road","138.644018","-34.963378",,"BTSites","12","2021","05","28","1","45"
"I","2022-03-06 00:28:01.777000","2022-03-06 10:27:51 +10:30","1223","968699860","2022-03-06 10:27:51 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.717043","1223","1223","1","true","KENSINGTON ROAD  E OF HAMILTON STREET ERINDALE","551","KENSINGTON ROAD; NEAR HAMILTON STREET","KENSINGTON ROAD; NEAR HAMILTON STREET","138.662714","-34.92585",,"BTSites","12","2021","05","28","1","46"
"I","2022-03-06 00:28:01.777000","2022-03-06 10:27:51 +10:30","1223","968699860","2022-03-06 10:27:51 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.391082","1223","1223","1","true","KENSINGTON ROAD  E OF HAMILTON STREET ERINDALE","551","KENSINGTON ROAD; NEAR HAMILTON STREET","KENSINGTON ROAD; NEAR HAMILTON STREET","138.662714","-34.92585",,"BTSites","11","2021","07","06","2","47"
"I","2022-03-06 00:28:33.220000","2022-03-06 10:28:06 +10:30","86","968699860","2022-03-06 10:28:06 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.336435","86","86","1","true","GLYNBURN ROAD - KENSINGTON ROAD","71","GLINBURN ROAD; KENSINGTON ROAD","Glynburn Road; Kensington Road","138.659218","-34.926008",,"BTSites","11","2021","07","06","2","48"
"I","2022-03-06 00:28:33.220000","2022-03-06 10:28:06 +10:30","86","968699860","2022-03-06 10:28:06 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.677627","86","86","1","true","GLYNBURN ROAD - KENSINGTON ROAD","71","GLINBURN ROAD; KENSINGTON ROAD","Glynburn Road; Kensington Road","138.659218","-34.926008",,"BTSites","12","2021","05","28","1","49"
"I","2022-03-06 00:29:05.200000","2022-03-06 10:28:50 +10:30","1232","968699860","2022-03-06 10:28:50 +10:30","1","0","dbo","BTRecords","11","2022","03","06","I","2021-07-06 01:49:39.392152","1232","1232","1","true","KENSINGTON ROAD  E OF SHIPSTERS ROAD KENSINGTON","549","KENSINGTON ROAD;  NEAR SHIPSTERS ROAD","KENSINGTON ROAD;  NEAR SHIPSTERS ROAD","138.65058","-34.926463",,"BTSites","11","2021","07","06","2","50"
"I","2022-03-06 00:29:05.200000","2022-03-06 10:28:50 +10:30","1232","968699860","2022-03-06 10:28:50 +10:30","1","0","dbo","BTRecords","11","2022","03","06","I","2021-05-28 03:25:56.717065","1232","1232","1","true","KENSINGTON ROAD  E OF SHIPSTERS ROAD KENSINGTON","549","KENSINGTON ROAD;  NEAR SHIPSTERS ROAD","KENSINGTON ROAD;  NEAR SHIPSTERS ROAD","138.65058","-34.926463",,"BTSites","12","2021","05","28","1","51"
